method,d0_nih_test_macro_auroc,d1_chexpert_test_macro_auroc,seen_average_macro_auroc,nih_forgetting_macro_auroc,average_macro_ece,average_brier_score
harder_gate_clipping,0.8434330454008145,0.8533673724061472,0.8484002089034809,0.0013245084917287153,0.06649552456282082,0.08126722222992352
source_only,0.8447575538925433,0.8500200943810433,0.8473888241367933,0.0,0.06520384586713093,0.08818298212385603
tiny_logit_correction,0.8447575538925433,0.8500200943810433,0.8473888241367933,0.0,0.06407063877834143,0.08770024151142154
smaller_bottleneck,0.8393024508688789,0.8535209251646872,0.8464116880167831,0.005455103023664365,0.06373008623362776,0.07864509808963963
main_method,0.8251571884639793,0.8573902821395756,0.8412737353017774,0.019600365428563915,0.05870208261679073,0.07847283501178026
vq_summary_replay,0.8262373080600339,0.8557709610433554,0.8410041345516946,0.01852024583250933,0.06434129195371276,0.08029799096818481
lwf,0.8301046692572999,0.8509838609616415,0.8405442651094707,0.01465288463524339,0.08151747406776896,0.0833908457841192
lwf_prototype_replay,0.8242155015994607,0.8507216720013618,0.8374685868004113,0.02054205229308259,0.06137275506056543,0.07967610590692077
stronger_replay_zero,0.8033676243950961,0.8467580575288028,0.8250628409619495,0.04138992949744713,0.05290658102091139,0.0756716922457729
