method,seed,d0_nih_test_macro_auroc,d1_chexpert_test_macro_auroc,seen_average_macro_auroc,nih_forgetting_macro_auroc,average_macro_ece,average_brier_score
source_only,1337,0.8447575538925433,0.8500200943810433,0.8473888241367933,0.0,0.06520384586713093,0.08818298212385603
lwf,1337,0.8301046692572999,0.8509838609616415,0.8405442651094707,0.01465288463524339,0.08151747406776896,0.0833908457841192
vq_summary_replay,1337,0.8262373080600339,0.8557709610433554,0.8410041345516946,0.01852024583250933,0.06434129195371276,0.08029799096818481
harder_gate_clipping,1337,0.8429702442203572,0.854669926217839,0.8488200852190981,0.0017873096721860993,0.06997442143613468,0.08129070466384292
tiny_logit_correction,1337,0.8447575538925433,0.8500200943810433,0.8473888241367933,0.0,0.06407062964483706,0.08770023964877639
source_only,2027,0.8447575538925433,0.8500200943810433,0.8473888241367933,0.0,0.06520384586713093,0.08818298212385603
lwf,2027,0.8302450358723236,0.8512127726659257,0.8407289042691246,0.014512518020219689,0.08169970631099535,0.08323633644197669
vq_summary_replay,2027,0.8266126569852883,0.8539261112416113,0.8402693841134499,0.01814489690725496,0.064058071171327,0.08027121225105865
harder_gate_clipping,2027,0.8348095099294129,0.8566000901780788,0.8457048000537459,0.009948043963130315,0.057250012863340694,0.07701344681637629
tiny_logit_correction,2027,0.8447575538925433,0.8500200943810433,0.8473888241367933,0.0,0.06409753207747468,0.08770767233467527
source_only,31415,0.8447575538925433,0.8500200943810433,0.8473888241367933,0.0,0.06520384586713093,0.08818298212385603
lwf,31415,0.8305572883388282,0.8499535770042582,0.8402554326715432,0.014200265553715008,0.08052762076650771,0.08341094638620104
vq_summary_replay,31415,0.8250336256149046,0.8535314781690094,0.839282551891957,0.01972392827763869,0.06150735959291245,0.08015655167400837
harder_gate_clipping,31415,0.8430532414602437,0.8528633968147986,0.8479583191375212,0.0017043124322995151,0.06780074287108155,0.07988779073847191
tiny_logit_correction,31415,0.8447575538925433,0.8500200943810433,0.8473888241367933,0.0,0.06406711383842066,0.08769925238032426
