method,domain,label_index,label_name,num_rows,delta_auroc_mean,delta_auroc_std,delta_auroc_min,delta_auroc_max
harder_gate_clipping,nih,0,atelectasis,3,-0.0016072994122803275,0.0010318662468369033,-0.003065774804905108,-0.0008361204013377366
harder_gate_clipping,nih,1,cardiomegaly,3,-0.0061762492207008135,0.004678572620795787,-0.01278212247192101,-0.0025486718802996133
harder_gate_clipping,nih,2,consolidation,3,-0.003740228886971786,0.0021074065531376347,-0.006647833956391569,-0.0017197534832056327
harder_gate_clipping,nih,3,edema,3,-0.006179368040783821,0.004518328541027545,-0.012441919882116736,-0.001948877612862554
harder_gate_clipping,nih,4,pleural_effusion,3,-0.0005512273123629378,0.0007779220550907319,-0.0016370500785261033,0.00014493476747468037
harder_gate_clipping,nih,5,pneumonia,3,-0.01317251038346375,0.013858615721940628,-0.03259924659518976,-0.0012134164010432213
harder_gate_clipping,nih,6,pneumothorax,3,6.766243212608103e-05,0.0003934335387841031,-0.00046235995286181275,0.000479275560893333
harder_gate_clipping,chexpert,0,atelectasis,3,0.0012987012987013176,0.00017534471586600826,0.001136363636363713,0.001542207792207817
harder_gate_clipping,chexpert,1,cardiomegaly,3,0.032187573824710713,0.014038843633027107,0.020375620127569327,0.05191353649893693
harder_gate_clipping,chexpert,2,consolidation,3,-0.0016081210111060784,0.0006999541824807305,-0.0025629428614503125,-0.0009045680687471691
harder_gate_clipping,chexpert,3,edema,3,-0.007054673721340277,0.007672952439594176,-0.017166372721928225,0.001410934744268233
harder_gate_clipping,chexpert,4,pleural_effusion,3,0.008013823100068521,0.0030721031909904046,0.005451783001161781,0.012333541871480946
harder_gate_clipping,chexpert,5,pneumonia,3,0.005162241887905594,0.004455400432741376,-0.0011061946902655162,0.008849557522123908
harder_gate_clipping,chexpert,6,pneumothorax,3,-0.005162241887905594,0.0027593343560280044,-0.008849557522123908,-0.0022123893805309214
labelwise_trust_region,nih,0,atelectasis,3,-0.0061008828421238075,0.003633619621193948,-0.010764035457999088,-0.0018995356690585385
labelwise_trust_region,nih,1,cardiomegaly,3,-0.010246371615095673,0.0010150613277546104,-0.011667684197265271,-0.009361281507108243
labelwise_trust_region,nih,2,consolidation,3,-0.01035047260329336,0.0006174876321984768,-0.01112483154873678,-0.009613703897920045
labelwise_trust_region,nih,3,edema,3,-0.009304702261411038,0.0004160887309719764,-0.009863222065097266,-0.008865016458509123
labelwise_trust_region,nih,4,pleural_effusion,3,-0.0031655970797623834,0.00015520239186704598,-0.0033026119145882493,-0.002948590925182737
labelwise_trust_region,nih,5,pneumonia,3,-0.018847194050033766,0.006931204936595262,-0.02859678354100259,-0.013094030715734561
labelwise_trust_region,nih,6,pneumothorax,3,-0.005046489729406652,0.00039364897126503554,-0.005525765290300022,-0.004561575632502812
labelwise_trust_region,chexpert,0,atelectasis,3,0.0014610389610390333,0.0019559274428493064,-0.0009740259740258495,0.003814935064935132
labelwise_trust_region,chexpert,1,cardiomegaly,3,0.02034609024332627,0.0011760162858338902,0.018781006378455034,0.021615875265768913
labelwise_trust_region,chexpert,2,consolidation,3,-0.0026634504246444424,0.0011699529350040468,-0.004070556309362261,-0.0012060907583295588
labelwise_trust_region,chexpert,3,edema,3,0.005878894767783767,0.0005345162334699999,0.005291005291005346,0.006584362139917865
labelwise_trust_region,chexpert,4,pleural_effusion,3,0.015968063872255505,0.0022987507640074784,0.01421038519974993,0.01921530074179989
labelwise_trust_region,chexpert,5,pneumonia,3,0.008112094395280193,0.003328810856428465,0.004977876106194601,0.012721238938053103
labelwise_trust_region,chexpert,6,pneumothorax,3,-0.007190265486725633,0.0015643955335985196,-0.00829646017699115,-0.004977876106194712
