method,seed,domain,threshold,mean_active_fraction,std_active_fraction,min_active_fraction,max_active_fraction
topk_labelwise_trust_region_k1,1337,nih,0.5,0.1428571428571428,5.551115123125783e-17,0.14285714285714285,0.14285714285714285
topk_labelwise_trust_region_k1,1337,chexpert,0.5,0.1428571428571428,5.551115123125783e-17,0.14285714285714285,0.14285714285714285
topk_labelwise_trust_region_k2,1337,nih,0.5,0.2857142857142856,1.1102230246251565e-16,0.2857142857142857,0.2857142857142857
topk_labelwise_trust_region_k2,1337,chexpert,0.5,0.2857142857142856,1.1102230246251565e-16,0.2857142857142857,0.2857142857142857
topk_labelwise_trust_region_k1,2027,nih,0.5,0.1428571428571428,5.551115123125783e-17,0.14285714285714285,0.14285714285714285
topk_labelwise_trust_region_k1,2027,chexpert,0.5,0.1428571428571428,5.551115123125783e-17,0.14285714285714285,0.14285714285714285
topk_labelwise_trust_region_k2,2027,nih,0.5,0.2857142857142856,1.1102230246251565e-16,0.2857142857142857,0.2857142857142857
topk_labelwise_trust_region_k2,2027,chexpert,0.5,0.2857142857142856,1.1102230246251565e-16,0.2857142857142857,0.2857142857142857
topk_labelwise_trust_region_k1,31415,nih,0.5,0.1428571428571428,5.551115123125783e-17,0.14285714285714285,0.14285714285714285
topk_labelwise_trust_region_k1,31415,chexpert,0.5,0.1428571428571428,5.551115123125783e-17,0.14285714285714285,0.14285714285714285
topk_labelwise_trust_region_k2,31415,nih,0.5,0.2857142857142856,1.1102230246251565e-16,0.2857142857142857,0.2857142857142857
topk_labelwise_trust_region_k2,31415,chexpert,0.5,0.2857142857142856,1.1102230246251565e-16,0.2857142857142857,0.2857142857142857
